,16,32,64,128,256,512
1.1031157125964306,6988,3113,2209,1592,1096,838
1.2390417495952692,15208,3021,2650,1872,1404,1019
1.325245019833285,10286,3993,2882,2121,1482,1116
1.3900694860332332,3148,4332,3181,2258,1614,1151
1.442782637154874,9298,4743,3360,2380,1730,1234
1.4876367643191006,14208,5079,3702,2499,1804,1264
1.5269542153347715,10378,5212,3824,2655,1870,1380
1.5621489530997468,4097,5479,3964,2600,1905,1420
1.5941488800346697,9957,5664,4069,2783,1980,1437
1.623597385400292,8938,5779,4088,3021,2128,1559
1.6509598322264465,10326,5794,4278,3000,2195,1573
1.6765842836220908,6204,6197,4392,3065,2234,1547
1.7007382607699657,10576,6180,4498,3101,2256,1608
1.7236320856371394,10264,6396,4688,3321,2292,1632
1.7454343010180149,10812,6672,4595,3330,2344,1673
1.7662821993563462,7761,6500,4762,3360,2384,1719
1.7862892169491495,10306,6948,4894,3505,2433,1758
1.8055502541763648,10773,6951,4896,3403,2469,1744
1.8241455851632964,11188,7144,5028,3681,2570,1765
1.842143784703514,8632,7195,5020,3569,2572,1892
1.8596039558338096,12118,7482,5174,3576,2574,1906
1.8765774502724977,11116,7532,5297,3792,2554,1805
1.893109214863428,9506,7798,5416,3759,2778,1922
1.9092388580088284,10914,7744,5428,3938,2589,1946
1.9250015035706087,10494,8190,5653,3934,2691,2008
1.940428481443397,11438,8271,5726,4149,2926,1990
1.955547891183905,11248,8290,5848,3864,2858,2006
1.970385065950328,12301,8460,5978,4174,2959,2105
1.9849629574087695,12568,8824,6023,4280,2952,2053
1.9993024574354563,13320,8830,6176,4177,2849,2152
2.0134226688670243,12970,8764,6240,4271,3131,2090
2.0273411348725188,12368,9073,6400,4443,3096,2159
2.0410740344937524,13676,9046,6473,4429,3100,2198
2.054636350352271,13691,9166,6634,4787,3222,2226
2.0680420133277955,13788,9917,6646,4763,3195,2161
2.081304028085723,13463,9799,6812,4898,3224,2160
2.094434582605268,12432,9538,6842,5001,3411,2443
2.107445144287359,13232,9608,6978,5072,3296,2211
2.1203465447671666,13770,10318,7462,5027,3606,2323
2.1331490551935084,14139,10229,7205,5145,3676,2350
2.145862453446442,30086,10302,7672,5284,3708,2545
2.1584960845298165,20262,10341,7718,5530,3796,2817
2.171058915185821,24620,11030,7748,6084,3659,2590
2.1835595836246164,15188,11087,7868,5691,3891,2639
2.1960064451370807,16656,11059,7978,5787,3920,2796
2.20840761425706,17544,11522,8112,5917,4385,3305
2.2207710040571813,17542,18924,8525,6217,4121,3818
2.233104363095864,19971,27160,8458,6029,4793,2765
2.245415310480221,17962,31068,9608,7211,8171,3395
2.2577113694679865,20680,14676,18076,6528,4385,3507
2.27,19484,14494,9499,6458,4956,3349
2.2822886305320136,22594,19402,21888,21044,9537,14495
2.294584689519779,20206,17496,11880,6248,4877,3659
2.3068956369041365,25934,15419,16759,5779,3989,2935
2.3192289959428187,24704,12246,9740,12351,4803,3934
2.33159238574294,21336,14544,12523,8220,6725,6850
2.3439935548629194,24234,15004,12468,6431,6655,3204
2.356440416375384,21884,15165,12017,7977,4347,3956
2.368941084814179,22113,15150,10186,8763,4832,4262
2.381503915470184,25748,15552,10566,6232,5665,2858
2.394137546553558,22757,14462,10690,7896,4534,3033
2.406850944806492,19234,16039,9922,6905,5880,3748
2.419653455232833,21594,13236,11358,6227,5980,4369
2.432554855712641,22050,14553,10601,7781,4974,3673
2.4455654173947323,21010,13719,10007,6618,4525,3840
2.458695971914277,20203,14388,9540,6070,4282,2966
2.471957986672205,20418,14262,9930,7146,5052,3136
2.485363649647729,19788,14690,9539,7630,4756,2938
2.498925965506248,20866,13010,9120,6840,4541,3141
2.5126588651274813,19342,14544,9908,6313,4777,2907
2.526577331132976,20536,14296,9333,7360,4293,3284
2.540697542564544,20734,13407,9086,6047,4796,3033
2.5550370425912305,19290,13361,9658,6257,4447,3145
2.5696149340496723,20152,13708,9618,6758,4502,2968
2.584452108816095,19433,12721,9428,6505,4115,2810
2.599571518556603,18971,13901,9182,6210,4281,2849
2.6149984964293917,18416,13448,9488,6478,4160,2895
2.6307611419911714,18712,13250,9687,6456,4170,3253
2.646890785136572,19336,13106,8650,5895,4392,3181
2.6634225497275024,18342,13051,9194,6014,4184,2875
2.6803960441661903,20368,13387,8594,6039,4239,3148
2.6978562152964862,18456,12602,9038,6224,3959,2895
2.7158544148367034,17660,12655,8699,6189,4454,2876
2.7344497458236354,18941,11996,8923,6234,4435,2775
2.7537107830508507,17554,12501,8949,5789,4154,2974
2.773717800643654,19714,12866,8933,6554,4149,2756
2.7945656989819856,17490,12350,8764,6001,3828,2638
2.8163679143628606,17697,12154,8384,5955,3814,2657
2.8392617392300346,18950,11978,8682,5888,4067,2824
2.8634157163779093,16876,12538,8614,5865,4133,2695
2.8890401677735538,19195,12588,8538,5746,4065,2775
2.916402614599708,17256,12516,8503,5799,4260,2660
2.9458511199653303,16701,11948,8192,5781,3811,2586
2.977851046900253,17592,12086,8244,5580,3675,2711
3.0130457846652288,17707,11787,8136,5728,3908,2648
3.0523632356808994,17772,12114,8098,5732,3797,2615
3.097217362845126,18155,11641,8087,5447,3644,2535
3.149930513966767,16562,11388,7840,5599,3675,2726
3.214754980166715,15250,11948,7993,5305,3699,2446
3.300958250404731,15334,11270,7739,5501,3501,2394
3.436884287403569,16372,11268,7758,5062,3371,2422
